data,vendas,temperatura
01/12/2024,50,25
02/12/2024,55,26
03/12/2024,60,27
04/12/2024,65,28
05/12/2024,70,29
06/12/2024,75,30
07/12/2024,80,31
08/12/2024,85,32
09/12/2024,90,33
10/12/2024,95,34
11/12/2024,100,35
12/12/2024,98,34
13/12/2024,93,33
14/12/2024,88,32
15/12/2024,83,31
16/12/2024,78,30
17/12/2024,73,29
18/12/2024,68,28
19/12/2024,63,27
20/12/2024,58,26
21/12/2024,53,25
22/12/2024,56,26
23/12/2024,61,27
24/12/2024,66,28
25/12/2024,71,29
26/12/2024,76,30
27/12/2024,81,31
28/12/2024,86,32
29/12/2024,91,33
30/12/2024,96,34
31/12/2024,101,35
01/01/2025,103,36
02/01/2025,100,35
03/01/2025,95,34
04/01/2025,90,33
05/01/2025,85,32
06/01/2025,80,31
07/01/2025,75,30
08/01/2025,70,29
09/01/2025,65,28
10/01/2025,60,27
11/01/2025,55,26
12/01/2025,52,25
13/01/2025,57,26
14/01/2025,62,27
15/01/2025,67,28
16/01/2025,72,29
17/01/2025,77,30
18/01/2025,82,31
19/01/2025,87,32
20/01/2025,92,33
21/01/2025,97,34
22/01/2025,102,35
23/01/2025,105,36
24/01/2025,102,35
25/01/2025,97,34
26/01/2025,92,33
27/01/2025,87,32
28/01/2025,82,31
29/01/2025,77,30
30/01/2025,72,29
31/01/2025,67,28
01/02/2025,62,27
02/02/2025,57,26
03/02/2025,54,25
04/02/2025,59,26
05/02/2025,64,27
06/02/2025,69,28
07/02/2025,74,29
08/02/2025,79,30
09/02/2025,84,31
10/02/2025,89,32
11/02/2025,94,33
12/02/2025,99,34
13/02/2025,104,35
14/02/2025,107,36
15/02/2025,104,35
16/02/2025,99,34
17/02/2025,94,33
18/02/2025,89,32
19/02/2025,84,31
20/02/2025,79,30
21/02/2025,74,29
22/02/2025,69,28
23/02/2025,64,27
24/02/2025,59,26
25/02/2025,56,25
26/02/2025,61,26
27/02/2025,66,27
28/02/2025,71,28
01/03/2025,104,35
02/03/2025,107,36
03/03/2025,104,35
04/03/2025,99,34
05/03/2025,94,33
06/03/2025,89,32
07/03/2025,84,31
08/03/2025,79,30
09/03/2025,74,29
10/03/2025,69,28
